UFRUBLU2L2DR2U'F'R2D2FURD'F2U',//3j,T_h - 24
UFUBRF2LF2B'U2D'BDL'F2L2F2UDR',coset,C_2_(b) I 2
UFUL'U'F'DLFD2FD'RD'RBRL'F'U2,coset,C_2h_(a) I 4
UFU2F'R'F2R'U2FU2R'L2DL'U'F'RB'U'D2,coset,C_s_(a) A 2
UFU2DR2U'FLUDR'BLD2B2D2R2F'LU',coset,C_s_(a) A 2
UFU2DR'U'FRLBU'RF'L2F2L2F'R2L2F,coset,C_1 A 1
UFU2BDBLF2L2F'B2UB2U2L2U'R'LFD2,coset,C_2_(b) A 2
UFU2B'UFRLB2D'FLUR'F2U'F2BLD',coset,S_4 A 4
UFU'R2F2D'LU'B'D'L2D2RB'R2LBL2F'D',coset,C_i A 2
UFR2U2L'DF'U'L'BRFB2D2F'R'L2F2BU,coset,C_2h_(a) I 4
UFR2BUL2UD'B'L'B2L2DBR'UL'BD'F',coset,C_2h_(b) A 4
UFR'FU'RDBU'FL2D'RF'R2LF'D'BD',coset,C_s_(a) I 2
UFR'BD'B2U2R2D2RF2URU2L'FD2L'B2D,coset,C_2h_(a) A 4
UFR'B'DFU'L'FR'U2D'F2L2U2L2F'L'U2L',coset,C_2_(b) A 2
UFDF'L'BRF'D2F'R2ULD2R2FL2F2BR,coset,C_2h_(a) A 4
UFD'F'R2F'U'L'U2R'BUD'LF'D2FUR'U2,coset,C_2_(b) A 2
UFLDF'L'U'L'BUDFR'D'R'B'URBD,coset,C_2h_(a) I 4
UFURD'BL2U2D2R'F2L'DRL2URB'L'B2,coset,S_4 A 4
UFURB'R'U2L2B'R2B2L'U'BU2RD'L'B2U',coset,C_1 A 1
UFURB'D'L'FBR2D2L2U2F'DFU'R'U'F',coset,C_i A 2
UFUR'B'UR'ULDB'UF'D2FR'B2U'R'L',coset,C_s_(a) A 2
UFUDB'U2RU'L2U2D'R'B'R2LB'R'UF2R2,coset,C_s_(a) A 2
UFUDB'R2U'L'UL2B2U2D2LBRLB2UL',coset,C_s_(a) A 2
UFUD'LD2LBR'U'F'L'B2DB2R'UF'U2F',coset,C_2v_(a2) A 4
UFUB'R2UD'RDFL'UL2DBL2DR'B'D2,coset,C_1 A 1
UFULF2U2D'FLU'FR'B2U2R'F'RF'UB,coset,C_2h_(a) - 4
UFU2DR2D'R'DRB'RF2R'U2F'B'LD'RB,coset,C_s_(a) I 2
UFU2D'F2D'FLFU'BD2LU2B'U2F2U'DL',coset,C_2_(b) I 2
UFRUR2F2LB'UR'F2L'D2F'BD2FUB2D',coset,C_2h_(a) A 4
UFRD'L2F'U'B2R2F2D2LFDL2B'RLU'B',coset,C_2h_(a) I 4
UFR'U'R2L2D'FL'BU'RDB2U2B2U'FD2F',coset,C_2h_(a) A 4
UFDR2L2B'U2FR'B2D'R2BR2L2B2U'RUL',coset,D_2_(edge) I 4
UFURUL'D2L'B2D'R2F'B2DLF2RU2F2U2,coset,C_i A 2
UFUDF2R2U2L'F2ULD'BD'L'U'R2F2R'U,coset,C_2_(b) A 2
UFU2F2B2R2L'B2UB'D'F2RUD'L'U'L'D'F,coset,C_s_(a) A 2
UFU'DF'B2RLUFDBD'R2D2FR'F'L2B',coset,C_2v_(a2) I 4
UFUF2R2U'R'BD'L'F2U2R2BL2DR'F2DF2,coset,C_s_(a) I 2
UFURFR2U'BL2B2D'R'U'L'DL'BD2FR,coset,C_s_(a) I 2
UFUR2U'F2DRF'BUL2D'F2LURL2BU2,coset,C_2_(a) A 2
UFUR2BL'DFB'D'B2UF'U'RU'LF2L2B,coset,C_2v_(a2) - 4
UFUR2B'R'D'L'U2RUF2RF'RU2BR'BD',coset,C_s_(a) I 2
UFUR'L2B2U2L2FRLU'B'U'F2D'LU'B'R2,coset,C_2v_(a2) I 4
UFUBRFDR2F'RL'D'L2UF2B2U2DR2L,coset,C_2_(b) - 2
UFUBRL2D2FD2L'D'BR2U'LD2F2R'U'F',coset,C_2_(b) A 2
UFUL'DFBU'D2BL'D'R'D'LF2BL'U2L2,coset,C_2_(b) I 2
UFU2F2R'FU'F2B2U'BD'L'UBR2FU2F'R,coset,C_1 A 1
UFU2F'UD'LUD'RF'LU'D'B'RU'R'FB2,coset,C_2h_(b) I 4
UFU2RDR2UDRB'LUR'BRF'R'DL'U',coset,C_2v_(a2) I 4
UFU2R2U2BD'LU'F'L2U'B2D'L'B'R'D'L'F2,coset,C_2v_(a2) I 4
UFU2R2F'RLUL2F'B'DR'L'D'R2B2RB2L',coset,C_i A 2
UFU2R'U'D2RFU'R2DB'R2B'U'RLD'F'U,coset,C_2_(b) A 2
UFU2R'D'LUB'UDB2U'R2BU2R'BR2L2B',coset,C_s_(a) I 2
UFU2L'DFBU2D2LU'R'U2L'FLFLB'L',coset,C_2h_(b) I 4
UFU'FRL2FLF2U'F2U'D'BR2FRD'B'U',coset,C_2h_(a) I 4
UFU'F'LF'B2L2F'U'RD'L'F'UR'BR'FR',coset,C_s_(a) A 2
UFU'R'FL2U'L'FL'B2D'B'L'D'R'U'FR2B2,coset,C_s_(a) A 2
UFU'B'U2D2LDRB'UD'RF2D'R'B2U2F2R',coset,S_4 A 4
UFU'B'RU'DF'R2U'L'U2D'R'UR'FL'F'U',coset,C_s_(a) I 2
UFU'LB'D'F2U2L2DF2U2RF'DF'U'FL'B2,coset,C_s_(a) A 2
UFRF2L'BR2B2DR'U2DFUD'FU2F2L'D,coset,C_2_(b) A 2
UFRDL'BU'R2FU2D2LBD2L2U'F'R2D2F2,coset,C_2h_(a) A 4
UFR2FRD2B2DBD2L'UD'L2D2RFRBR,coset,C_2h_(a) A 4
UFR2D'B2RDLB'U2LFUL'UFR'DL2B,coset,C_s_(a) A 2
DB2D'L2UL'UFLFU'R'B2DBUBF'DR',kociemba 03-2006,C_4 A 4
L2F2UF2U2RFU'L2D'L'B2R2D2F'L'B'R'UR',kociemba 03-2006,C_4 A 4
B2F2UL2B2LRBL2U'BL2D'U'B'F'D2U'BR2,kociemba 03-2006,C_4 A 4
U2L2F2DFLD2B2RD'R'U'F2R2BL'FR2D'R',kociemba 03-2006,C_4 A 4
F2D2F2D'U'RB'UL'DB2L'BF'D2F2R'U'F2R',kociemba 03-2006,C_4 A 4
D2U'B2D2L2RU2B'R2D2L'B'DU2B2U'BD'F'R,kociemba 03-2006,C_4 A 4
D'L2R2DL'FDR2BL2R'U2L2D2B'DU'R2FR2,kociemba 03-2006,C_4 A 4
DBRUF2LF2U2L2B'U'R'B'R2U2RULR2U2,kociemba 03-2006,C_4 A 4
D'L2D'B2U'FR2F2UF2UFD2L'D'F2UL2B'R,kociemba 03-2006,C_4 A 4
DL2D2L2U2RB'UL'DB2L'BF'D2F2R'U'F2R',kociemba 03-2006,C_4 A 4
D'B2D2L2B2RD'B'R'U'L'FL2DBRF2U2B'R2,kociemba 03-2006,C_4 A 4
L2UL2R2B2R'B2U'LBDR2UBU2RB'U2FR',kociemba 03-2006,C_4 A 4
D'F'L'R2BL2F'DLB2UL'F'UR2DU2F'R'U',kociemba 03-2006,C_4 A 4
DL2D'B2U'FR2F2UF2UFD2L'D'F2UL2B'R,kociemba 03-2006,C_4 A 4
D'L2D2L2U2RB'UL'DB2L'BF'D2F2R'U'F2R',kociemba 03-2006,C_4 A 4
F2UL2U2B2L'U'R'B2R'U2BFDUFRDL2R2,kociemba 03-2006,C_4 A 4
F2DB'D'F2U2BU2LD'R'B2D'R2B'F'U2LR2U',kociemba 03-2006,C_4 A 4
F2U2B2D'R'F'R2DLR2B'DRF'UL2R2BUR2,kociemba 03-2006,C_4 A 4
D'L2UL2RFURBL'UBUR'U'B'F'D'U'F',kociemba 03-2006,C_4 A 4
L2DUL2F'D'L'BR2U'B'D'BL'FR2FU2FR',kociemba 03-2006,C_4 A 4
R2BF2UB2D2R'BF'D'L2B2D2F'U'B'DU'R'U',kociemba 03-2006,C_4 A 4
L2U'FLR'B'F2U2R2UBRDFRUF2U'R'U',kociemba 03-2006,C_4 A 4
UR2D2R2D2RB'UL'DB2L'BF'D2F2R'U'F2R',kociemba 03-2006,C_4 A 4
F2D2L2D'U'B2RB'D'U2FD2RU'F2U2L'R2FR2,kociemba 03-2006,C_4 A 4
UR2F2D2U'FD2B'D'LU2B2F2R2D'L'B'L2FR',kociemba 03-2006,C_4 - 4
B2L2D'L'U2RF'D'BU'FR'F2D'F2LD2BRU',kociemba 03-2006,C_4 I 4
B2R'BFU2B'D'L'D'R'B'D'F2L2RUB'D'R'U',kociemba 03-2006,C_4 I 4
L'D2F'UR2B'LR'U2B'U2B2FD'F'D2L2F2RU',kociemba 03-2006,C_4 A 4
L'FU'R'BDR2F'DU2B'DBLRB'D2L2R'U',kociemba 03-2006,C_4 A 4
UFDF2LBU'LF2L'UR'FB2LD2RL2B2L,coset,C_2h_(a) A 4
UFD'L2FR2L'FRB2DLBD2L'DR2DBR2,coset,C_2v_(b) A 4
UFUF2RL'B'D'B2U'L'FR2UBU'R'D'B2R,coset,C_1 A 1
UFUF2L'D2L2B'R2LU'R'L2D2B'D'R2L'B2D,coset,C_i A 2
UFURUF2L2D'F2RU2B2U'B'LD'F'RF2L,coset,C_2h_(a) - 4
UFURD2LBDF2R'LF2U'B'R'U2L'D'F'D',coset,C_1 A 1
UFURL'DFU2F2R2L'B2U2FB2L'DF2UR2,coset,C_s_(a) - 2
UFUR2L2FUL2FD'R'L2F'D'LU2R2D'FR',coset,C_1 A 1
UFUR'UDL2B2D'L'F'RU'DL'FLD2BD2,coset,C_2h_(b) I 4
UFUDF'D'B'U2LU2F'D2R2B2U2D'B'RU'L',coset,C_s_(a) A 2
UFUD2F2B'U'D'RU'R2D2B'UD2B'U2L'FR',coset,C_1 A 1
UFUD'F2DR'D'RB2RF2BR2U2B2RU'FL,coset,C_2v_(a2) - 4
UFUD'B'D'L'U2R'F'U'B2R'LB2DFLD2R,coset,C_s_(a) - 2
UFUD'LU2L2F'UBL2U2RL2UBL'UFL2,coset,C_1 A 1
UFUBRU2B'RU'B'D'R'LUL2B'L2F2D'R',coset,C_2_(a) A 2
UFUB2R'U2D2F'RU'D'FL'F'DL2FL'DL,coset,C_s_(a) A 2
UFULB'U2D'B2RL'B2U'F2D'R2F'LU'FB2,coset,C_s_(a) A 2
UFUL'B'D2B2L'U'DRF'BL'D2F'U2R'DR',coset,C_s_(a) A 2
UFU2FRU'L2D'LD2FRL2D2F2LDF'UB',coset,C_i A 2
UFU2F2U'B'U'L2D'R'L2U'L'FR2F2R2D'RD2,coset,C_s_(a) A 2
UFU2RF2D'R'U'F2B'D'B2L'U2F2U2F'D'RB2,coset,C_2_(b) A 2
UFU2R2BR'D'B'DLD'FL'B2R2DLD2R'B2,coset,C_2v_(a2) I 4
UFU2BLB'U2DRL'F'B2U2F'BD'F2R'D2F',coset,C_s_(a) A 2
UFU2LB'D2R'DF2U'RU2FL'D2B'D'R2U2L2,coset,C_s_(a) A 2
UFU2L2B2LD'R'FU'D2RU2F2L'B2R'L'D2F,coset,C_i A 2
UFU'FL2B2UF'R'LD2B'LU'LDF2RF'B,coset,C_2v_(a2) I 4
UFU'F2D'B'RFB2U2RB2RLUB'R'DLD',coset,C_s_(a) A 2
UFU'RB'L'BU'R2D'R2FLU'B2D'B'R2FB',coset,C_2v_(a2) - 4
UFU'R2F'U2R2UD'BR2B'LD2BR2U'RFL',coset,C_s_(a) A 2
UFU'R2L'UD2B2R'UFL'DB'D'R'U'F2R2L2,coset,C_s_(a) A 2
UFRDL'D'B'DB2U2F'L'U2LF2R'B2DF2R',coset,C_i I 2
UFRD'B'R2LU'B2R'F'D2B2R2FD2R2LF2D,coset,C_2h_(a) A 4
UFRBR'U'R'F2R2UR2D'LU'BRU'LB2L,coset,C_2h_(a) A 4
UFRB2D'L2D2F2B2RDFU2R'L'F2U'L2U'F,coset,C_1 A 1
UFRL2F2RL'F2BU2FURF2U2FU2D'LU2,coset,C_s_(a) A 2
UFR2U2F2BL'U'RL'D2F2R'B'RU'FDB2R',coset,C_s_(a) A 2
UFR2FU'BRU'FD'B2UB2L2B'U'B'RBL,coset,S_4 A 4
UFDB2L'B'R'L2U2F2DF2L2U2B2R2U'R2F'R',coset,C_s_(b) I 2
UFD2F'L'D'F'R'B'UB2L'F'R2BUR2U'D2R2,coset,C_s_(a) A 2
UFD2B2L'UDF'DLB'R'FD'B2RD'L'U2B',coset,C_2h_(a) I 4
UFB2U'DB'R'U'R'F2R'DRFU2R2F2RL'F2,coset,C_2v_(a2) I 4
UFUF'DRU2DLDF'B'U2DB2L'UF2R'F,coset,C_1 A 1
UFUF'L'DFURD2FR2D2F2U'R2UR'FU2,coset,C_2_(a) A 2
UFURL2UR2L'U2R'F2UB'RF'U2B2RD'L',coset,C_2h_(a) A 4
UFURL'F2B'R'BR'F'B2D'B'RL'UL'B'D',coset,C_1 A 1
UFUR'U'B2L2D'R2UL2B'R'L'D'B2DL2D'F,coset,C_2_(b) A 2
UFUR'F2U'B2UD'R'FL2F'BLF2UDF'R',coset,C_2h_(a) - 4
UFUD'B'R'FLU'B'RDF2DLB2UB'R2B2,coset,C_s_(a) A 2
UFUB'RDF'B'D2BL2U2R2B2UB2LU'R'D,coset,C_2v_(a2) A 4
UFU2R'FU'LU2L2D2F2B'UB2D2LD2F'U'B,coset,C_2v_(a2) - 4
UFU2B2L'F2D'B'U2R2UB'D2R'B'U'DR2D2L,coset,C_s_(a) A 2
UFU2B'U'F2RD'BL'F2U2DF'R2D'L2BRD',coset,C_2v_(b) A 4
UFU2B'D'FU2R'LULB2D2R'U2FBRD2F',coset,C_2h_(a) A 4
UFU2LUB2R2U'R'BD'F'BL'B'R'U2F2R2L,coset,C_s_(a) - 2
UFU2LUL'U2LUDR2B'D2RUBLFB'L,coset,C_2v_(a2) A 4
UFU2L'D2L2B2D2BRUF'DFL'D'F2BLD',coset,C_1 A 1
UFU'F'U2D'R2FR'ULU'D2R2FDBL'U2F2,coset,C_i A 2
UFU'RU2R2F2B2R2BR2UL'B'RFDB'L'U',coset,C_2v_(a2) I 4
UFU'B2RDB'L'F'L'DR2UL'D'R'LBD'B',coset,S_4 A 4
UFU'L'BULF'RF'U'D'BUB2U'LF'U2F,coset,C_2v_(a2) - 4
UFU'L'B2D'R2FRB2R2U'F2L2DF2L'B2DF',coset,C_1 A 1
UFR2U2RU2R'F'L'BRU2DFU'L'F2D2LB,coset,C_i A 2
UFR'F2D'B'U'FU'L'UDR'B'R2LF2U'LF2,coset,C_2v_(a2) A 4
UF2U2F2L'ULFLF2B'U2R2L'U'DBR2L'U2,coset,C_s_(a) A 2
UF2R2D2F'LB2RBR2DR'UF'B'R2BLD2B2,coset,C_2h_(b) I 4
UFUF2RBL'FDRBU'R2B2L'BU'F2D2B2,coset,C_s_(a) A 2
UFUF'B2U'BLF'D2LDRBUD2BDL'F2,coset,S_4 A 4
UFURU2BL'D'F'DF2R'U'DL'F2L2B2U2L',coset,C_s_(a) A 2
UFUR'D'R'B'R'B2L2D'F'LF2UR2D'B2R'D2,coset,C_2v_(a2) A 4
UFUDF'LB'UDR'F2U2R2F2B2RF'U'B2L',coset,C_s_(a) A 2
UFUD2F'UL2B2R'F2U2D'BRUR2DFL'D,coset,C_i A 2
UFUD'F2BD2F2R2LF2R2U'DBRLDB'D',coset,C_s_(a) - 2
UFUBU'L2F2DB2U'L'UR'UR2BR2D'F2L',coset,C_1 A 1
UFUB'U2B2LUB'UDLD2R2UL2F'L'D2R',coset,C_2_(b) A 2
UFULU2B'L'B2UR'LF2U'LU2F2R2FL'D,coset,C_s_(a) - 2
UFULU'R2L2U'L'FL2D'R'B'U2RUFL'U,coset,C_1 A 1
UFU2F2U'R'B2U2F'LF'B'D'R'F'LFU'R2L2,coset,C_1 A 1
UFU2RFLUBRDB'U'RU'R'B2L2FB'L2,coset,C_1 A 1
UFU2D2BL'U2R2L2B2U'FLB'UR2UD'F2L,coset,C_2_(a) A 2
UFU2B2L'D'R2FB2L2D'R2L'F'R'U2FD'F2D',coset,C_1 A 1
UFU2B'U'RD2F2B2L2U'R'B'R2FL'UDR2F2,coset,C_s_(a) A 2
UFU2L'D'F'DRBU2F2LB'UF2R'B'DL'D',coset,C_2v_(a2) A 4
UFU'R2FRLB'R'FR'FUL'U2FD'L'UL',coset,C_2v_(b) I 4
UFU'L2B2LD'B'U'D2BR'B2LB'L'F'R'D'R',coset,C_2h_(a) A 4
UFU'L'D'B'R'F'L2D'F2D'B'D'BL'U'F2DF2,coset,C_2_(b) A 2
UFRU'DR'B2UBU2B2DB2R'U'LF'B'R'D,coset,S_4 A 4
UFRF'D'R'U2DF'L'U2DB2U2BR'F'BD'B',coset,C_2h_(a) A 4
UFR2LF2R'UBR'D'L'D2RBUFRU2F'B',coset,C_2_(b) A 2
UFR2L'ULDF'B'LU'D2BU2F2R'LFRF',coset,C_s_(a) A 2
UFR2L'BU'D'R'L2DF'R'FBR2D'L'F'D2F',coset,S_4 A 4
UFDFU2L'BR'L2B'LF'B'DRBR'L'B'R,coset,C_2h_(a) A 4
UF2UF'B2RD'B'L2D2F2RLU2DL2U'F'R'F2,coset,C_2v_(a2) A 4
UFU2R'U'L2U2R'LUB2R'BR2L'F2D'R2F'U2,coset,C_2_(a) A 2
UFU2R'B2D2L'U'B2DF'D'L'B'LB2U'F'UL2,coset,C_i A 2
UFU2D'R2D'FD2L'BRUF2R2LF'R2U2R'B2,coset,C_2_(b) A 2
UFRFB2DF2R2D2R2UL'D'RB'U2FR'LU,coset,C_2h_(a) A 4
UFUFDL'B2U'FLUR2LU2B2R2D'FDF2,coset,C_1 A 1
UFUR2D2FR'L2D2L'U2F2B2U'L2F2U2R'FL',coset,C_2h_(a) A 4
UFUDB2R'DL2FU'F'R2B'R2LB'U2LU2B',coset,C_i A 2
UFUB2LD'F2R'F'U2D2FLF2UR'B2D'F'U',coset,C_s_(a) A 2
UFULFDB2L2F'U'D'B'L2F2DBLUBD',coset,S_4 A 4
UFU2D2R2U'L'B2L2DFLDL'D2F'U'FL'U,coset,C_i A 2
UFU2B2RUL2F'L2B2D'FU2D'B2R'U'RF2L,coset,C_s_(a) A 2
UFUL2U'D'B'D'B'R'F2U'LB2D'F'U'RFB2,coset,S_4 A 4
UFU'F'L2D'R2U'R'U2F'DF'U'LD2LF'R2F2,coset,S_4 A 4
UFU'DB2U'FR'U'F'R2U2L2BU2LD'B'U'B2,coset,C_2v_(a2) A 4
UFR2BR'U'F'D'B2R'BRF'BR'U'F2RDR2,coset,C_2_(b) A 2
UFL2UL2D2RBL2DRB'UB2UF2LFD'F',coset,C_2h_(a) A 4
UFL2U2RB'L2FLDR'U'R2U2R'B'FL2R2D2,neighbors,C_2v_(a2) - 4
UFU'B'D2U2LDRB'D'URF2D'R'B2U2F2R,neighbors,C_2_(a) A 2
B2UR2BDU2R2BR'DR2D2F'D'L'R'B'F'R'U',kociemba 03-2006,D_2_(face) A 4
D'F2L2UB2F'RDLD'BD'F2D'BF2R2D'BR',kociemba 03-2006,D_2_(face) A 4
DUF2U'F2L'D2F'RD2RFL'D'RB'R'FDU',kociemba 03-2006,D_2_(face) A 4
L2BR2D'B2L2R'F2DBF'DL'BULUF2R'U',kociemba 03-2006,D_2_(face) A 4
UFURFU'L'U2B2UD2RU'FD2R2B'LF'B,coset,C_s_(a) A 2
UFURBULURU2B'U2LF2L'FDB2R'U2,coset,C_1 A 1
UFUR'B2U'R2L'U2BD2BULF2B'L'BRB',coset,C_1 A 1
UFUDB2R2FU2D2R2F'R'UB'U2LDFRF2,coset,C_2_(b) A 2
UFUB'R'DBDLBUFL2U'R2D2B2R'F2B,coset,C_2_(a) I 2
UFU2RU2BDF2R'L2FB'L2U2FU'D'L2B'L,coset,C_1 A 1
UFU2R2FB'D'BLFBRU'RB2RD'LUD',coset,C_1 A 1
UFU'D'L2U2R'D'L'U2B'L2FU'RDL2F2U'B2,coset,C_1 A 1
UFU'BRL2U2DR2LF'U'RB2L'F2U'BRU',coset,C_2_(b) A 2
UFR2U2L2DRUB'U'FLU'B'UDF'BUL',coset,C_2_(b) A 2
UFR2LU2F2RDFU2L2F'R'LU2R'FB'RB2,coset,C_i I 2
UFDF2R2F'LFU2DB'L2DB'UR2L'UF'R',coset,C_1 A 1
UFU2R2U2B2R2U2F2RD'F'LBU'F'BUBR,coset,C_1 A 1
UFU2R2F2LU2F2U'R'UL2B'RU'LUF'D2R',coset,C_2_(a) A 2
UFU2DR'DL'U2F'R2F'UF2DL2FR'FU'F',coset,C_2_(a) A 2
UFRBD'FU'L'F'BR2BD2LFDRBR2U,coset,S_4 A 4
UFR'B'LF'L'U'R'L'UD2R2L2FD2B2LU'L,coset,C_s_(a) A 2
UFURD'B2LU'F'R'U2BD'F'DR'U2D2L2D',coset,C_s_(a) A 2
UFUD2LF'URB'R2L2ULU2F'U'F'U'R2U,coset,C_1 A 1
UFUL'U2L'F2UD'F2RUR2L2BL'U2R2BR',coset,C_2_(a) I 2
UFUL'FRF2R2U'D2B2RD'LBD2L2BRF2,coset,C_1 I 1
UFU2R2UD2R2U'LBDFBU2D'F'LU'RU,coset,C_2_(b) A 2
UFU2LFD2R'DF2RU2L2UR2UB'RF2B2U2,coset,C_s_(b) I 2
UFU2L'D'F2LF'R'LFBUL'DL2BDL'U,coset,C_1 - 1
UFRUD'R'F2BU'R'U'RD2L'F'U2B'RFD',coset,C_1 A 1
UFB'RB'D2F'B2R2D'L2FR2L'F'RBD2L'U2,coset,C_2_(b) A 2
UFL'F2B2U'D2R2L'UD'L'FL'FDRL2BR,coset,C_1 A 1
UFUFD'RFBR2URBL'F'B'U'D'RUB,coset,C_2_(b) A 2
UFUBRF2RDFD2RD2R'U2RU'R'F2BR,coset,C_s_(a) A 2
UFU2F2U2LFDRU'L2D'FRBR2BRU'B,coset,C_1 A 1
UFU2F2LU2F'L'BU'BRFDR2F'L2F2L'U2,coset,C_i A 2
UFU2F'B'RB'L2D'L'B'DL'DF'LU'F'BU2,coset,C_i A 2
UFU'R'D'B'D'LFUF'DRU2F2L'F2R2B2U',coset,C_s_(b) - 2
UFU'D2F2LDL2BRB2U2D'RU'F2BR2BU',coset,C_2_(b) A 2
UFU'L2D2FR'UF'L2B'RL'FBR2DFL2D,coset,C_1 A 1
UFU'L2BD'B2D2FRD2RUB'UFL2UR'L,coset,C_1 A 1
UFRDFU2B2L2U2FBUR'FB2U2FU'RF2,coset,C_s_(b) A 2
UFRL2B2R'DF2BR2D'FR2D2F'UB'U2R'L,coset,C_i A 2
UFR2U'D'B'R'L2B'DLF'LD2LUR'UFB',coset,C_1 A 1
UF2UR2F2LDBR'B2DL'F'R2LUR2F'B'R2,coset,C_2h_(b) I 4
UF2UL'B2LB2RB'LF'L'U2F'D'F'UB'LU2,coset,C_s_(a) A 2
UFURF2L2U2R'FD2L'B'U'F'R'DB'U'L'B,coset,C_i A 2
UFUBUF'UBD'RF2B2DRF2R'BU'R2B,coset,C_2_(b) I 2
UFUB2R'U'BL2F2RF'DBR'L2DBDLD,coset,C_2h_(a) A 4
UFU2F2B'U2L'F'DR'U2F2B'L2B'R'D'F'BL,coset,C_i A 2
UFU2D2R'L2B2R2D'B2D'R'D'F2D2F'U'F2B2R',coset,C_i A 2
UFRD'L'D2R'BR2U'F2D2FR2FU2B'L2F2R',coset,C_s_(a) A 2
UFD2R2DL'F'LF'DFU'L2B2L'U2L'UFL2,coset,C_2h_(a) A 4
UFB2R'L2D2F'B2L'FU'FD2L2BUB2LD'R2,coset,C_2v_(b) I 4
UFL2U2L'D2LD'LU'L'F2RD'R'FR2DRB2,coset,C_2v_(b) A 4
UFRB2LU2DR2D'FL2BL'DFB'RL2B2D,coset,S_4 I 4
UFUFRF2B'R2U2R'U'F2BRB2R2B'D2F2B',coset,C_2v_(a2) - 4
UFUR'UD'F'L2D2F'RF2D'B2LD'B'U'B'R,coset,C_2_(a) A 2
UFU2BU'RF'UB'LD2FD'F2B2UL'D'RB',coset,C_2v_(a2) - 4
UFU2B'UB2ULF2D2R2FL'D'R'D'LU'FU2,coset,C_s_(a) A 2
UFU2L2UL'F2R'D'FU2L2F'U'F'D'RB'D2F,coset,C_i A 2
UFR'L2B2U2R'L2BU2D'B2LD'L2D'BUD2R',coset,C_2_(a) A 2
UF2UR2L'UB'UR'DF2D2L'D2R'L'U2B'U2F2,coset,C_2h_(a) A 4
UF2R'F'LFUD2F2D2R'BR2LF2L2UD2F'R',coset,C_s_(a) A 2
UFUL2DR'BU'LFL2BR'DR2L2F2D'BL',coset,C_1 A 1
UFU2R'LD'F'L2UR2FU2L'D'B2L'UD'B'L,coset,C_1 A 1
UFU'B'LU2D2LUD'RF2BL2D2F2UL2UR',coset,C_i - 2
UFRF'B'R'D2R2BD2L2F2U'L'B'D'RU'FB',coset,C_s_(a) A 2
UFDB'D2RF'LDL2UB'R'F'R2UFB'UB',coset,C_1 A 1
UFL'URD'R2F'U'BRD2RULUF2R2D'B2,coset,C_2_(a) A 2
UFUR2F2UL2U'RU'D'FR'D2B'D2F'RFL2,coset,C_1 A 1
UFUBUB'L'U'D2R'D2FB2R'B'L2FUBU,coset,C_3 A 3
UFU'FDL2BD2B2RUF'RU2L'D'R2BL2U',coset,C_i A 2
UFU'R2BUF'R2L'F2UL2F2D2B2UBUF2L,coset,C_3 A 3
UFRUD2B2R2F2RL2FR'FU2DRB'U2B2R',coset,C_3 A 3
UFD2BLD'F'RBULUR2UF'U'R2D'BL2,neighbors,C_1 A 1
URD2B2D'U2L2DRBF'D'LR2U2B2U2RFD',neighbors,C_s_(a) - 2
UF'D'BL'U'R'D2L2F'RFUBRB'F'D2RB2,neighbors,C_s_(a) - 2
B2D2F2L2R2D2F2U'F'L'RD'F2D'L2B'F'U2RU',kociemba 03-2006,D_2_(edge) A 4
D2F2D2U2F2L2R2D'B'L'R'UB2R2B2UB'F'R'U',kociemba 03-2006,D_2_(edge) I 4
D'R2U2F2DF'D'L'DF'L'B'D2UB'LR2D'LR2,kociemba 03-2006,D_2_(edge) A 4
D2B2F2L'F2R2B2F'R'BLB2UF'R2D'LD2F2U,kociemba 03-2006,D_2_(edge) A 4
B2L2D2U2B2D2L'R2B'L'F2U'L'B'DU'R2FR2D',kociemba 03-2006,D_2_(edge) A 4
F2D2BR2F2RD2B2R2DB2U2BL'RB'F2L2R2F',kociemba 03-2006,D_2_(edge) A 4
U2L'D2L'F2D2B2UL'U2BU2L2U'BD'L'B'F'R,kociemba 03-2006,D_2_(edge) - 4
DL2D2R2U'BD2R'D2UBLUBD'L2U'LB'R',kociemba 03-2006,D_2_(edge) A 4
R2B2R2D'B2D2B2R'F'L2D2UL'F'D'UR2BD2R,kociemba 03-2006,D_2_(edge) A 4
B2U2F'D2R2F'L'DF2L2D'FL'B2RB2R2B'RF2,kociemba 03-2006,D_2_(edge) A 4
UFRUD2BD'L'U2F'L'UBRL'D2R2F2U'L2,coset,C_1 A 1
UFUR2F'UL2FDLF2U'R2B'RD'LB2U2F2,coset,C_1 A 1
UFUB2UF2BD'R'UR2B'L2FLF'UF2R'U',coset,C_1 A 1
UFUB2RU2B'RFU'D'R'FR2L2BL'U'RB2,coset,C_2_(a) A 2
UFUL'FU'L2B'DF'BUB2R'U'R2F'L'BU,coset,C_1 A 1
UFU2DB2D2LF'D2F'B2R2B'ULF'BRF'L2,coset,C_1 A 1
UFU2D'RFL2F'B2DFB2D2L2ULUR2F'R',coset,C_1 A 1
UFRU2D'LB'UR'D2L'D2R'FDRB'L2UL2,coset,C_1 A 1
UFR2L'D2F2D'FRB'U2LUD2R'LD2LDF2,coset,C_1 A 1
UFU2F2L2FD'R'D'L'D'F2B'U'RDR'U'FD',coset,C_i A 2
U2FU'RF2U'F'LU2F2R'B'FD'B2F'L'RF2D,neighbors,C_2v_(a2) - 4
